"schema_version","card_id","source_title","source_refs","category","subtopic","card_type","concept","front","answer","condition","result","symbolic_rule","example_input","example_output","tags"
"1.0","SS2-001","Sanskrit School - Stage 2 (Varṇa-Vidyā)","02-varna-vidya/theory.md","phonetics","place_of_articulation","enumeration","sthānāni","Name the six sthānas (points of articulation) and the element each carries.","Kaṇṭha (throat, ākāśa), Tālu (palate, vāyu), Mūrdhan (dome, agni), Danta (teeth, āpas), Oṣṭha (lips, pṛthivī), Nāsikā (nose)","","","","","","stage2|phonetics|sthana|elements"
"1.0","SS2-002","Sanskrit School - Stage 2","02-varna-vidya/theory.md","phonetics","place_of_articulation","mapping","kaṇṭhya","Which vowel is kaṇṭhya (throat-born), and why does the first sound of the alphabet live there?","'a' — the unobstructed birthplace of sound; kaṇṭha corresponds to ākāśa, the space from which all articulation emerges","","","","","","stage2|phonetics|sthana|kanthya|vowel-a"
"1.0","SS2-003","Sanskrit School - Stage 2","02-varna-vidya/theory.md","phonetics","place_of_articulation","mapping","tālavya","Which vowel and śakti-sibilant are tālavya, and what element is the palate?","'i / ī' and 'śa'; tālu = vāyu (air) — the first rise of the tongue, the śakti-sibilant present in śiva, śakti, śrī","","","","","","stage2|phonetics|sthana|talavya|sibilant-śa"
"1.0","SS2-004","Sanskrit School - Stage 2","02-varna-vidya/theory.md","phonetics","place_of_articulation","mapping","mūrdhanya","Which semivowel and sibilant are mūrdhanya, and why is this position called the place of transformation?","'ra' and 'ṣa'; mūrdhan = agni (fire) — the tongue curls to the dome; ra is the fire-letter present in hrīṃ, śrīṃ, krīṃ","","","","","","stage2|phonetics|sthana|murdhanya|fire"
"1.0","SS2-005","Sanskrit School - Stage 2","02-varna-vidya/theory.md","phonetics","place_of_articulation","mapping","dantya","Which semivowel and sibilant are dantya, and what element does the teeth-position carry?","'la' and 'sa'; danta = āpas (water) — la grounds (present in klīṃ), sa is the soma-sibilant of satya, soma, sattva","","","","","","stage2|phonetics|sthana|dantya|water"
"1.0","SS2-006","Sanskrit School - Stage 2","02-varna-vidya/theory.md","phonetics","place_of_articulation","mapping","oṣṭhya","Which vowel is oṣṭhya, and why is the lips-position the final gate?","'u / ū'; oṣṭha = pṛthivī (earth) — the last closure before the sound leaves the body","","","","","","stage2|phonetics|sthana|oṣṭhya|earth"
"1.0","SS2-007","Sanskrit School - Stage 2","02-varna-vidya/theory.md","phonetics","place_of_articulation","definition","nāsikā","What is Nāsikā, and which two ayogavāha and which class-letters use it?","The nose — used for anusvāra (ṃ) and anunāsika (candrabindu), plus the fifth (nasal) letter of every varga (ṅa, ña, ṇa, na, ma)","","","","","","stage2|phonetics|sthana|nasika|nasal"
"1.0","SS2-008","Sanskrit School - Stage 2","02-varna-vidya/theory.md","phonetics","place_of_articulation","enumeration","compound_sthana","Which two vowels are kaṇṭha-tālavya and which two are kaṇṭha-oṣṭhya? Why is this significant?","e, ai (kaṇṭha-tālavya) and o, au (kaṇṭha-oṣṭhya). Their two sthānas fuse into one sound — sandhi made audible in the vowel system itself","","","","","","stage2|phonetics|sthana|compound-vowels|sandhi-preview"
"1.0","SS2-009","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","varga_matrix","definition","varga","How many varga (class) consonants are there, and how are they organized?","25 sparśa consonants, arranged in a 5×5 matrix: five rows by sthāna (kaṇṭha, tālu, mūrdhan, danta, oṣṭha) × five columns by prayatna (aghoṣa, mahāprāṇa, ghoṣa, ghoṣa-mahāprāṇa, anunāsika)","","","","","","stage2|phonetics|varga|matrix"
"1.0","SS2-010","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","varga_matrix","enumeration","ka-varga","Enumerate ka-varga and name their common sthāna.","ka, kha, ga, gha, ṅa — all kaṇṭhya","","","","","","stage2|phonetics|varga|ka-varga"
"1.0","SS2-011","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","varga_matrix","enumeration","ca-varga","Enumerate ca-varga and name their common sthāna.","ca, cha, ja, jha, ña — all tālavya","","","","","","stage2|phonetics|varga|ca-varga"
"1.0","SS2-012","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","varga_matrix","enumeration","ṭa-varga","Enumerate ṭa-varga and name their common sthāna.","ṭa, ṭha, ḍa, ḍha, ṇa — all mūrdhanya","","","","","","stage2|phonetics|varga|ṭa-varga"
"1.0","SS2-013","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","varga_matrix","enumeration","ta-varga","Enumerate ta-varga and name their common sthāna.","ta, tha, da, dha, na — all dantya","","","","","","stage2|phonetics|varga|ta-varga"
"1.0","SS2-014","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","varga_matrix","enumeration","pa-varga","Enumerate pa-varga and name their common sthāna.","pa, pha, ba, bha, ma — all oṣṭhya","","","","","","stage2|phonetics|varga|pa-varga"
"1.0","SS2-015","Sanskrit School - Stage 2","02-varna-vidya/theory.md","phonetics","varga_matrix","contrast","column_arc","A varga row moves from ka → kha → ga → gha → ṅa. What single arc do all five columns trace?","Seed (unvoiced stop) → seed + breath (aspirated) → life enters (voiced) → full animation (voiced + aspirated) → dissolution into resonance (nasal). From closed seed to open nasal echo.","","","","","","stage2|phonetics|varga|column-arc"
"1.0","SS2-016","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","non_varga","enumeration","antaḥstha","Name the four antaḥstha (semivowel / 'in-between') letters and their sthānas.","ya (tālu), ra (mūrdhan), la (danta), va (dantoṣṭha)","","","","","","stage2|phonetics|antaḥstha"
"1.0","SS2-017","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","non_varga","enumeration","ūṣman","Name the four ūṣman (heat/friction) letters and their sthānas.","śa (tālu), ṣa (mūrdhan), sa (danta), ha (kaṇṭha)","","","","","","stage2|phonetics|ūṣman"
